date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:37:23	41236/41236	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225eed257a-a114%22	http://choccyorwine.com/fonts/glyphicons-halflings-regular.ttf	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/fonts/glyphicons-halflings-regular.ttf	(from http://choccyorwine.com/assets/lander.css)
16:37:26	62850/62850	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225eed257a-f582%22	http://choccyorwine.com/fonts/glyphicons-halflings-regular.svg	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/fonts/glyphicons-halflings-regular.svg	(from http://choccyorwine.com/assets/lander.css)
16:37:28	1005344/1005344	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225ee8ea40-f5720%22	http://choccyorwine.com/assets/lander.js	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/assets/lander.js	(from https://choccyorwine.com/quizandmystory)
16:37:30	20290/20290	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225eed257a-4f42%22	http://choccyorwine.com/fonts/glyphicons-halflings-regular.eot?	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/fonts/glyphicons-halflings-regulard41d.eot	(from http://choccyorwine.com/assets/lander.css)
16:37:32	20052/20052	---M--	200	added ('OK')	image/png	etag:%225eed257a-4e54%22	http://choccyorwine.com/images/videoplaceholderbg.png	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/images/videoplaceholderbg.png	(from http://choccyorwine.com/assets/lander.css)
16:37:32	833/833	---M--	200	added ('OK')	image/png	etag:%225eed257a-341%22	http://choccyorwine.com/images/green_check_big.png	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/images/green_check_big.png	(from http://choccyorwine.com/assets/lander.css)
16:37:34	20290/20290	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225eed257a-4f42%22	http://choccyorwine.com/fonts/glyphicons-halflings-regular.eot	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/fonts/glyphicons-halflings-regular.eot	(from http://choccyorwine.com/assets/lander.css)
16:37:35	551/551	---M--	200	added ('OK')	image/png	etag:%225eed257a-227%22	http://choccyorwine.com/images/green_check_small.png	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/images/green_check_small.png	(from http://choccyorwine.com/assets/lander.css)
16:37:35	838/838	---M--	200	added ('OK')	image/png	etag:%225eed257a-346%22	http://choccyorwine.com/images/red_cross_big.png	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/images/red_cross_big.png	(from http://choccyorwine.com/assets/lander.css)
16:37:36	634/634	---M--	200	added ('OK')	image/png	etag:%225eed257a-27a%22	http://choccyorwine.com/images/red_cross_small.png	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/images/red_cross_small.png	(from http://choccyorwine.com/assets/lander.css)
16:37:36	626/626	---M--	200	added ('OK')	image/png	etag:%225eed257a-272%22	http://choccyorwine.com/images/green_dot_big.png	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/images/green_dot_big.png	(from http://choccyorwine.com/assets/lander.css)
16:37:37	251/251	---M--	200	added ('OK')	image/png	etag:%225eed257a-fb%22	http://choccyorwine.com/images/green_dot_small.png	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/images/green_dot_small.png	(from http://choccyorwine.com/assets/lander.css)
16:37:38	637/637	---M--	200	added ('OK')	image/png	etag:%225eed257a-27d%22	http://choccyorwine.com/images/red_dot_big.png	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/images/red_dot_big.png	(from http://choccyorwine.com/assets/lander.css)
16:37:38	257/257	---M--	200	added ('OK')	image/png	etag:%225eed257a-101%22	http://choccyorwine.com/images/red_dot_small.png	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/images/red_dot_small.png	(from http://choccyorwine.com/assets/lander.css)
16:37:39	389/389	---M--	200	added ('OK')	image/png	etag:%225eed257a-185%22	http://choccyorwine.com/images/img_bullet.png	C:/Users/user/Documents/my%20copied%20website/project1/choccyorwine.com/images/img_bullet.png	(from http://choccyorwine.com/assets/lander.css)
16:37:41	109/109	---M--	200	added ('OK')	image/png	etag:%223ff8cb1a5c0712b4b8061821df0e918f%22	https://images.clickfunnels.com/11/a994c0076011e68a7a9d34efe8eba6/div-slanted.png	C:/Users/user/Documents/my%20copied%20website/project1/images.clickfunnels.com/11/a994c0076011e68a7a9d34efe8eba6/div-slanted.png	(from http://choccyorwine.com/assets/lander.css)
